Country_Name,Country_Code,Series_Name,Series_Code,[YR2005],[YR2006],[YR2007], [YR2008],[YR2009], [YR2010],[YR2011],[YR2012], [YR2013], [YR2014], [YR2015],[YR2016], [YR2017], [YR2018]
Angola,AGO,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,NA,NA,NA,NA,NA
Angola,AGO,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,2.5,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
Angola,AGO,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,3,3,3,3,3.5,3.5,3.5,3,3,NA,NA,NA,NA,NA
Angola,AGO,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
Angola,AGO,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,2.6,2.7,2.7,2.7,2.9,2.8,2.8,2.7,2.7,NA,NA,NA,NA,NA
Angola,AGO,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,2.5,3,3,3,3,3,2.5,2.5,2.5,NA,NA,NA,NA,NA
Angola,AGO,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
Angola,AGO,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,NA,NA,NA,NA,NA
Angola,AGO,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,NA,NA,NA,NA,NA
Angola,AGO,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,NA,NA,NA,NA,NA
Angola,AGO,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,2.5,2.5,2.5,2.5,3,2.5,2.5,2.5,2.5,NA,NA,NA,NA,NA
Angola,AGO,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,2.833333333,2.833333333,2.833333333,2.8,2.833333333,2.833333333,2.666666667,2.666666667,2.666666667,NA,NA,NA,NA,NA
Angola,AGO,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,4,4,4,4,4,4,3.5,3.5,3.5,NA,NA,NA,NA,NA
Angola,AGO,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,NA,NA,NA,NA,NA
Angola,AGO,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,2.583333333,2.65,2.733333333,2.7,2.783333333,2.758333333,2.691666667,2.666666667,2.666666667,NA,NA,NA,NA,NA
Armenia,ARM,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA
Armenia,ARM,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,4,4,4,4,4,4,4,4,4.5,NA,NA,NA,NA,NA
Armenia,ARM,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,5.5,5.5,6,6,5,4.5,4.5,4.5,4,NA,NA,NA,NA,NA
Armenia,ARM,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,5.333333333,5.333333333,5.5,5.5,5,4.666666667,4.666666667,4.666666667,4.5,NA,NA,NA,NA,NA
Armenia,ARM,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,NA,NA,NA,NA,NA
Armenia,ARM,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,NA,NA,NA,NA,NA
Armenia,ARM,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3.5,3.5,3.5,4,4,3.5,4,4,4,NA,NA,NA,NA,NA
Armenia,ARM,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA
Armenia,ARM,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4,4.5,4.5,NA,NA,NA,NA,NA
Armenia,ARM,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,5.5,5.5,5.5,5.5,5,4.5,4.5,4.5,4.5,NA,NA,NA,NA,NA
Armenia,ARM,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,4.2,4.2,4.2,4.1,4.1,4.1,4,4,4,NA,NA,NA,NA,NA
Armenia,ARM,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,3.5,3.5,3.5,3,3,3,3,3,3,NA,NA,NA,NA,NA
Armenia,ARM,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,NA,NA,NA,NA,NA
Armenia,ARM,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,3.8,3.7,3.7,3.7,3.7,3.7,3.6,3.7,3.7,NA,NA,NA,NA,NA
Armenia,ARM,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5,NA,NA,NA,NA,NA
Armenia,ARM,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,4,4,4,4,4,4,3.5,3.5,3.5,NA,NA,NA,NA,NA
Armenia,ARM,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4,NA,NA,NA,NA,NA
Armenia,ARM,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,4,4,4,4.2,4.166666667,4,4,4.166666667,4.333333333,NA,NA,NA,NA,NA
Armenia,ARM,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4,4.5,4.5,NA,NA,NA,NA,NA
Armenia,ARM,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5,3.5,3.5,3,3,3,3,3.5,3.5,NA,NA,NA,NA,NA
Armenia,ARM,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,4.333333333,4.308333333,4.35,4.4,4.241666667,4.116666667,4.066666667,4.133333333,4.133333333,NA,NA,NA,NA,NA
Burundi,BDI,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,3,3,3,3,3,3.5,3.5,4,4,4,4,4,4,4
Burundi,BDI,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3,3,3,3,3
Burundi,BDI,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,3,2.5,2.5,3,3,3,2.5,3,3,3,2.5,2.5,2.5,2.5
Burundi,BDI,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,3.333333333,3.166666667,3.166666667,3.3,3.333333333,3.333333333,3.166666667,3.333333333,3.333333333,3.33333,2.833333333,2.666666667,2.666666667,2.666666667
Burundi,BDI,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,3,3,3,3,3,3,3.5,3.5,3,3,3,3,3,3
Burundi,BDI,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,3,3,3.5,3.5,3.5,3.5,3.5,4,4,4,4,3.5,3.5,3.5
Burundi,BDI,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3,3,3,2.5,2.5,2.5,2.5,3,3,3,3,3,2.5,2.5
Burundi,BDI,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3
Burundi,BDI,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,3.5,3.5,4,4,4,4,4,4,4,4,4,4,4,4
Burundi,BDI,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,2.5,2.5,2.5
Burundi,BDI,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,3,3.1,3.3,3.3,3.3,3.4,3.4,3.6,3.6,3.6,3.6,3.5,3.5,3.5
Burundi,BDI,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3
Burundi,BDI,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,2
Burundi,BDI,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,2.7,2.7,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.8,2.5,2.4,2.3,2.3
Burundi,BDI,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,2.5,3,3,3,3,3,3,3,3.5,3.5,3,2.5,2.5,2.5
Burundi,BDI,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Burundi,BDI,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Burundi,BDI,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,2.833333333,3,3,2.8,3,3,3.166666667,3.333333333,3.333333333,3.33333,3.333333333,3.333333333,3.166666667,3.166666667
Burundi,BDI,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,3,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,4
Burundi,BDI,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3,2.5,2,2,2,2,2,2,2,2.5,2,2,1.5,1.5
Burundi,BDI,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,2.966666667,2.991666667,3.016666667,3,3.058333333,3.083333333,3.108333333,3.241666667,3.241666667,3.26667,3.066666667,2.975,2.908333333,2.908333333
Benin,BEN,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4
Benin,BEN,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3.5,3.5
Benin,BEN,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
Benin,BEN,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,4,4,4,4,3.666666667,3.5,3.5,3.666666667,3.833333333,3.83333,3.83333,3.666666667,3.833333333,3.833333333
Benin,BEN,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,2.5,2.5,2.5
Benin,BEN,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,4,4,4,4,3.5,3,3,3,3.5,3.5,3.5,3,3.5,3.5
Benin,BEN,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,4.5,4.5,4.5,4.5,4,4,4,4,4,4,4,4,4,4
Benin,BEN,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5
Benin,BEN,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Benin,BEN,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Benin,BEN,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Benin,BEN,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Benin,BEN,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,4,3.833333333,3.666666667,3.7,3.666666667,3.666666667,3.666666667,3.5,3.5,3.5,3.5,3.166666667,3.333333333,3.333333333
Benin,BEN,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,4.5,4.5,4,4,4,4,4,4,4,4,4,4,4,4
Benin,BEN,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,3.65,3.583333333,3.566666667,3.6,3.483333333,3.466666667,3.466666667,3.466666667,3.508333333,3.50833,3.50833,3.383333333,3.466666667,3.491666667
Burkina Faso,BFA,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4
Burkina Faso,BFA,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Burkina Faso,BFA,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4
Burkina Faso,BFA,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,4.5,4.333333333,4.333333333,4.3,4.333333333,4.333333333,4.166666667,4.166666667,4.166666667,4,3.833333333,3.833333333,3.666666667,3.666666667
Burkina Faso,BFA,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,3.5,3.5,3.5,3.5,3.5
Burkina Faso,BFA,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Burkina Faso,BFA,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Burkina Faso,BFA,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4,3.5,3.5,3.5,3,3
Burkina Faso,BFA,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Burkina Faso,BFA,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4,4
Burkina Faso,BFA,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.6,3.7,3.7,3.7
Burkina Faso,BFA,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4,4
Burkina Faso,BFA,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3,3
Burkina Faso,BFA,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,3.6,3.5,3.5,3.5,3.7,3.7,3.7,3.7,3.7,3.5,3.5,3.5,3.4,3.4
Burkina Faso,BFA,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4,4,4,3.5,3.5
Burkina Faso,BFA,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Burkina Faso,BFA,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3
Burkina Faso,BFA,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,3.333333333,3.333333333,3.333333333,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Burkina Faso,BFA,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Burkina Faso,BFA,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3.5,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Burkina Faso,BFA,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,3.758333333,3.691666667,3.691666667,3.7,3.783333333,3.783333333,3.766666667,3.766666667,3.766666667,3.65,3.608333333,3.633333333,3.566666667,3.566666667
Bangladesh,BGD,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Bangladesh,BGD,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3
Bangladesh,BGD,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,4.5,4.5,4.5,4.5,4,4,3.5,3.5,3.5,4,4,4,4,4
Bangladesh,BGD,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,4,4,4,4.2,4,4,3.5,3.5,3.5,3.83333,3.83333,3.83333,3.833333333,3.666666667
Bangladesh,BGD,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Bangladesh,BGD,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,3.5,3.5,3.5,3.5
Bangladesh,BGD,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3,3,3,3,3.5,3.5,3,3,2.5,2.5,2.5,2.5,2.5,2.5
Bangladesh,BGD,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,3.5,3.5,3.5,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bangladesh,BGD,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,4,4,4,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3,3
Bangladesh,BGD,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,4,4,4,4,4,4,3.5,3.5,3.5,4,4,4,4,3.5
Bangladesh,BGD,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,3.6,3.6,3.6,3.6,3.6,3.6,3.4,3.4,3.5,3.6,3.5,3.5,3.4,3.4
Bangladesh,BGD,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,3,3,3,3,3,3,2.5,2.5,3,3,3,3,3,3
Bangladesh,BGD,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3,2.5,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5
Bangladesh,BGD,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,2.9,2.8,3,3,3,3,2.9,2.9,2.9,2.9,2.9,2.8,2.7,2.7
Bangladesh,BGD,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Bangladesh,BGD,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5
Bangladesh,BGD,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
