Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,..,3,2.5,2.5,3,3,3,3,3,3,3.5,3.5,3.5,3.5
Afghanistan,AFG,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,..,2.5,2,2,2,2,2,2,2,2,2,2,2,2
Afghanistan,AFG,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,..,2.60833333333333,2.5,2.6,2.75,2.625,2.675,2.675,2.65,2.65,2.69167,2.71667,2.675,2.675
Angola,AGO,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,2.5,2.5,2.5,2.5,2.5,2.5,3,3,3,..,..,..,..,..
Angola,AGO,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,2,2,2,2,2,2,2,2,2,..,..,..,..,..
Angola,AGO,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,2,2,3,3,3,3,3,3,3,..,..,..,..,..
Angola,AGO,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,2.5,2.66666666666667,3,3,3,3,3,3,3,..,..,..,..,..
Angola,AGO,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..,..,..,..
Angola,AGO,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..,..,..,..
Angola,AGO,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..,..,..,..
Angola,AGO,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,2.5,3,3,3,3,3,3,3,3,..,..,..,..,..
Angola,AGO,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,3,3,3,3,3.5,3.5,3.5,3,3,..,..,..,..,..
Angola,AGO,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,3,3,3,3,3,3,3,3,3,..,..,..,..,..
Angola,AGO,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,2.6,2.7,2.7,2.7,2.9,2.8,2.8,2.7,2.7,..,..,..,..,..
Angola,AGO,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,2.5,3,3,3,3,3,2.5,2.5,2.5,..,..,..,..,..
Angola,AGO,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2,2,2,2,2,2,2,2,2,..,..,..,..,..
Angola,AGO,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.3,..,..,..,..,..
Angola,AGO,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..,..,..,..
Angola,AGO,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2,2,2,..,..,..,..,..
Angola,AGO,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,2.5,2.5,2.5,2.5,3,2.5,2.5,2.5,2.5,..,..,..,..,..
Angola,AGO,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,2.83333333333333,2.83333333333333,2.83333333333333,2.8,2.83333333333333,2.83333333333333,2.66666666666667,2.66666666666667,2.66666666666667,..,..,..,..,..
Angola,AGO,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,4,4,4,4,4,4,3.5,3.5,3.5,..,..,..,..,..
Angola,AGO,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..,..,..,..
Angola,AGO,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,2.58333333333333,2.65,2.73333333333333,2.7,2.78333333333333,2.75833333333333,2.69166666666667,2.66666666666667,2.66666666666667,..,..,..,..,..
Armenia,ARM,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,4,4,4,4,4,4,4,4,4,..,..,..,..,..
Armenia,ARM,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,4,4,4,4,4,4,4,4,4.5,..,..,..,..,..
Armenia,ARM,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,5.5,5.5,6,6,5,4.5,4.5,4.5,4,..,..,..,..,..
Armenia,ARM,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,5.33333333333333,5.33333333333333,5.5,5.5,5,4.66666666666667,4.66666666666667,4.66666666666667,4.5,..,..,..,..,..
Armenia,ARM,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,..,..,..,..,..
Armenia,ARM,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,..,..,..,..,..
Armenia,ARM,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3.5,3.5,3.5,4,4,3.5,4,4,4,..,..,..,..,..
Armenia,ARM,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,5,5,5,5,5,5,5,5,5,..,..,..,..,..
Armenia,ARM,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4,4.5,4.5,..,..,..,..,..
Armenia,ARM,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,5.5,5.5,5.5,5.5,5,4.5,4.5,4.5,4.5,..,..,..,..,..
Armenia,ARM,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,4.2,4.2,4.2,4.1,4.1,4.1,4,4,4,..,..,..,..,..
Armenia,ARM,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,3.5,3.5,3.5,3,3,3,3,3,3,..,..,..,..,..
Armenia,ARM,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,..,..,..,..,..
Armenia,ARM,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,3.8,3.7,3.7,3.7,3.7,3.7,3.6,3.7,3.7,..,..,..,..,..
Armenia,ARM,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5,..,..,..,..,..
Armenia,ARM,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,4,4,4,4,4,4,3.5,3.5,3.5,..,..,..,..,..
Armenia,ARM,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4,4,..,..,..,..,..
Armenia,ARM,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,4,4,4,4.2,4.16666666666667,4,4,4.16666666666667,4.33333333333333,..,..,..,..,..
Armenia,ARM,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4,4.5,4.5,..,..,..,..,..
Armenia,ARM,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5,3.5,3.5,3,3,3,3,3.5,3.5,..,..,..,..,..
Armenia,ARM,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,4.33333333333333,4.30833333333333,4.35,4.4,4.24166666666667,4.11666666666667,4.06666666666667,4.13333333333333,4.13333333333333,..,..,..,..,..
Bangladesh,BGD,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Bangladesh,BGD,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3
Bangladesh,BGD,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,4.5,4.5,4.5,4.5,4,4,3.5,3.5,3.5,4,4,4,4,4
Bangladesh,BGD,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,4,4,4,4.2,4,4,3.5,3.5,3.5,3.83333,3.83333,3.83333,3.83333333333333,3.66666666666667
Bangladesh,BGD,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Bangladesh,BGD,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,3.5,3.5,3.5,3.5
Bangladesh,BGD,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3,3,3,3,3.5,3.5,3,3,2.5,2.5,2.5,2.5,2.5,2.5
Bangladesh,BGD,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,3.5,3.5,3.5,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bangladesh,BGD,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,4,4,4,4,4,4,3.5,3.5,3.5,3.5,3.5,3.5,3,3
Bangladesh,BGD,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,4,4,4,4,4,4,3.5,3.5,3.5,4,4,4,4,3.5
Bangladesh,BGD,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,3.6,3.6,3.6,3.6,3.6,3.6,3.4,3.4,3.5,3.6,3.5,3.5,3.4,3.4
Bangladesh,BGD,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,3,3,3,3,3,3,2.5,2.5,3,3,3,3,3,3
Bangladesh,BGD,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3,2.5,3,3,3,3,3,3,3,3,3,2.5,2.5,2.5
Bangladesh,BGD,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,2.9,2.8,3,3,3,3,2.9,2.9,2.9,2.9,2.9,2.8,2.7,2.7
Bangladesh,BGD,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Bangladesh,BGD,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.5
Bangladesh,BGD,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bangladesh,BGD,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,3.16666666666667,3.33333333333333,3.33333333333333,3.3,3.5,3.33333333333333,3.33333333333333,3.33333333333333,3.16666666666667,3.16667,3,3,3,3
Bangladesh,BGD,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,3,3.5,3.5,3.5,3.5,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bangladesh,BGD,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,2.5,2.5,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Bangladesh,BGD,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,3.41666666666667,3.43333333333333,3.48333333333333,3.5,3.525,3.48333333333333,3.28333333333333,3.28333333333333,3.26666666666667,3.375,3.30833,3.28333,3.23333333333333,3.19166666666667
Benin,BEN,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4
Benin,BEN,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3.5,3.5
Benin,BEN,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4,4,4,4,4
Benin,BEN,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,4,4,4,4,3.66666666666667,3.5,3.5,3.66666666666667,3.83333333333333,3.83333,3.83333,3.66666666666667,3.83333333333333,3.83333333333333
Benin,BEN,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,3,3,3,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,2.5,2.5,2.5
Benin,BEN,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,4,4,4,4,3.5,3,3,3,3.5,3.5,3.5,3,3.5,3.5
Benin,BEN,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,4.5,4.5,4.5,4.5,4,4,4,4,4,4,4,4,4,4
Benin,BEN,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.5
Benin,BEN,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Benin,BEN,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,3.4,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Benin,BEN,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,4,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Benin,BEN,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Benin,BEN,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,4,3.83333333333333,3.66666666666667,3.7,3.66666666666667,3.66666666666667,3.66666666666667,3.5,3.5,3.5,3.5,3.16666666666667,3.33333333333333,3.33333333333333
Benin,BEN,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,4.5,4.5,4,4,4,4,4,4,4,4,4,4,4,4
Benin,BEN,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Benin,BEN,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,3.65,3.58333333333333,3.56666666666667,3.6,3.48333333333333,3.46666666666667,3.46666666666667,3.46666666666667,3.50833333333333,3.50833,3.50833,3.38333333333333,3.46666666666667,3.49166666666667
Bhutan,BTN,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,4.5,4.5,4.5,4,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Bhutan,BTN,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
Bhutan,BTN,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,4,4,4.5,4.5,4.5,4.5,4.5,4,4,4,4,4,4,4
Bhutan,BTN,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,4,4.16666666666667,4.5,4.5,4.5,4.5,4.16666666666667,3.66666666666667,3.66666666666667,3.83333,3.83333,3.83333,4.16666666666667,4.16666666666667
Bhutan,BTN,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,4,4,4,4,4,4,4,4,4,4,3.5,3.5,3.5,4
Bhutan,BTN,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,4,4,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Bhutan,BTN,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3,3,3,3,3,3,3.5,3,3,3.5,3,3,3,3
Bhutan,BTN,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,4,4,4.5,4.5,4.5,4.5,4,3.5,3.5,3.5,3.5,3.5,4,4
Bhutan,BTN,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,4.5,4,4,4,4,4,4,4,4,4,4,4,4,4
Bhutan,BTN,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,4,4.5,4.5,4.5,4.5,4.5,4,3.5,3.5,4,4,4,4.5,4.5
Bhutan,BTN,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,4.2,4.1,4.1,4,4,4.1,4,4,4,4,4,4,4,4
Bhutan,BTN,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,4.5,4.5,4.5,4.5,4.5,4.5,4,4,4,4,4,4,4,4
Bhutan,BTN,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4
Bhutan,BTN,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,3.8,3.8,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.8,3.9,3.9,4.1
Bhutan,BTN,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4,4
Bhutan,BTN,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Bhutan,BTN,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3,3,3,3
Bhutan,BTN,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,3.16666666666667,3.16666666666667,3.16666666666667,3.2,3.16666666666667,3.16666666666667,3.33333333333333,3.16666666666667,3.16666666666667,3.33333,3.16667,3.33333,3.33333333333333,3.33333333333333
Bhutan,BTN,CPIA trade rating (1=low to 6=high),IQ.CPA.TRAD.XQ,3,3,3,3,3,3,3,3,3,3,3,3.5,3.5,3.5
Bhutan,BTN,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",IQ.CPA.TRAN.XQ,4,4,4,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Bhutan,BTN,IDA resource allocation index (1=low to 6=high),IQ.CPA.IRAI.XQ,3.79166666666667,3.80833333333333,3.89166666666667,3.9,3.89166666666667,3.91666666666667,3.85,3.68333333333333,3.68333333333333,3.76667,3.7,3.76667,3.85,3.9
Bolivia,BOL,CPIA building human resources rating (1=low to 6=high),IQ.CPA.HRES.XQ,4,4.5,4,4,4,4,3.5,3.5,3.5,3.5,3.5,..,..,..
Bolivia,BOL,CPIA business regulatory environment rating (1=low to 6=high),IQ.CPA.BREG.XQ,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..,..
Bolivia,BOL,CPIA debt policy rating (1=low to 6=high),IQ.CPA.DEBT.XQ,4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,..,..,..
Bolivia,BOL,CPIA economic management cluster average (1=low to 6=high),IQ.CPA.ECON.XQ,4,4.16666666666667,4.16666666666667,4.2,4.16666666666667,4.16666666666667,4,4,4,4,3.66667,..,..,..
Bolivia,BOL,CPIA efficiency of revenue mobilization rating (1=low to 6=high),IQ.CPA.REVN.XQ,4,4,4,4,4,4,4,4,4,4,4,..,..,..
Bolivia,BOL,CPIA equity of public resource use rating (1=low to 6=high),IQ.CPA.PRES.XQ,4,4,4,4,4,4,4,4,4,4,4,..,..,..
Bolivia,BOL,CPIA financial sector rating (1=low to 6=high),IQ.CPA.FINS.XQ,3.5,3.5,3.5,4,4,3.5,3.5,3.5,3,3,3,..,..,..
Bolivia,BOL,CPIA fiscal policy rating (1=low to 6=high),IQ.CPA.FISP.XQ,4,4,4,4,4,4,4,4,4,4,3.5,..,..,..
Bolivia,BOL,CPIA gender equality rating (1=low to 6=high),IQ.CPA.GNDR.XQ,3.5,4,4,4,4,4,4,4,4,4,4,..,..,..
Bolivia,BOL,CPIA macroeconomic management rating (1=low to 6=high),IQ.CPA.MACR.XQ,4,4,4,4,4,4,3.5,3.5,3.5,3.5,3,..,..,..
Bolivia,BOL,CPIA policies for social inclusion/equity cluster average (1=low to 6=high),IQ.CPA.SOCI.XQ,..,..,..,3.8,3.8,3.8,3.7,3.8,3.7,3.7,3.7,..,..,..
Bolivia,BOL,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),IQ.CPA.ENVR.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,..,..,..
Bolivia,BOL,CPIA property rights and rule-based governance rating (1=low to 6=high),IQ.CPA.PROP.XQ,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..,..
Bolivia,BOL,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.2,3.2,3.1,..,..,..
Bolivia,BOL,CPIA quality of budgetary and financial management rating (1=low to 6=high),IQ.CPA.FINQ.XQ,3.5,3.5,3.5,3.5,3.5,3.5,3,3,3,3,3,..,..,..
Bolivia,BOL,CPIA quality of public administration rating (1=low to 6=high),IQ.CPA.PADM.XQ,3.5,3,3,3,3,3,3,3,3,3,3,..,..,..
Bolivia,BOL,CPIA social protection rating (1=low to 6=high),IQ.CPA.PROT.XQ,..,..,..,3.5,3.5,3.5,3.5,4,3.5,3.5,3.5,..,..,..
Bolivia,BOL,CPIA structural policies cluster average (1=low to 6=high),IQ.CPA.STRC.XQ,3.83333333333333,3.66666666666667,3.66666666666667,3.8,3.83333333333333,3.66666666666667,3.5,3.5,3.33333333333333,3.33333,3.33333,..,..,..
