Exporters,Imported_value_in_2009,Imported_value_in_2010,Imported_value_in_2011,Imported_value_in_2012,Imported_value_in_2013,Imported_value_in_2014,Imported_value_in_2015,Imported_value_in_2016,Imported_value_in_2017,Imported_value_in_2018
Kyrgyzstan,0,0,0,0,0,0,0,0,0,1
Russian Federation,0,0,4,0,0,0,17,3,19,1
"Korea, Democratic People's Republic of",0,0,0,0,0,0,3,0,0,0
Somalia,0,0,0,0,0,0,0,0,0,0
South Sudan,0,0,0,0,0,0,0,0,0,0
Area Nes,0,9,0,0,0,60,30,0,0,0
Algeria,0,0,54,13,0,0,0,0,0,0
Myanmar,0,0,0,0,0,0,0,0,0,0
Central African Republic,0,0,18,0,0,0,0,4,0,0
Sri Lanka,0,5,9,1,1,0,0,0,0,0
Costa Rica,0,0,0,0,0,0,0,76,0,0
Croatia,0,0,4,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,15,0,0,0
Dominican Republic,0,2,0,0,0,5,21,0,0,0
Ethiopia,111,31,46,29,6,8,10,0,0,0
Eritrea,0,20,0,0,0,0,0,0,0,0
Djibouti,4,0,0,0,0,0,0,0,0,0
Georgia,13,0,0,0,0,0,3,2,0,0
Ghana,0,0,12,0,27,28,0,45,0,0
Grenada,0,0,0,0,0,1,0,0,0,0
"Hong Kong, China",33,27,15,3,59,108,51,9,0,0
"Iran, Islamic Republic of",51,207,671,40,113,109,64,172,500,0
Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0
Lesotho,0,0,0,0,4,0,0,0,0,0
Latvia,0,0,0,0,0,0,0,23,0,0
Liberia,0,0,0,0,0,0,74,0,0,0
Lithuania,0,4,3,4,8,7,9,5,0,0
Luxembourg,82,0,0,56,0,0,0,0,0,0
"Macao, China",0,65,0,0,0,0,0,0,0,0
Malta,0,0,0,0,0,0,82,0,0,0
Mozambique,2,0,0,0,1,0,0,0,0,0
Namibia,0,0,0,0,0,0,0,1,0,0
Nigeria,211,426,348,16,360,377,148,293,2,0
Panama,53,0,0,3,0,0,0,0,0,0
Paraguay,0,0,1,0,0,0,0,0,0,0
Philippines,0,2,3,13,2,2,3,0,7,0
Qatar,0,0,1,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0,5,0,0
Seychelles,0,0,14,0,0,0,0,0,0,0
Sierra Leone,0,0,0,4,0,0,0,10,0,0
Slovakia,0,0,0,0,0,0,10,0,0,0
Zimbabwe,0,0,0,1,0,0,1,45,0,0
Sudan,0,0,0,6,0,2,0,0,0,0
Syrian Arab Republic,66,91,80,52,0,0,0,0,0,0
Tunisia,78,0,0,0,0,119,58,0,0,0
Yemen,14,0,7,0,0,0,0,0,0,0
Zambia,0,138,0,6,0,0,24,0,0,0
